,Article_ID,Text
10,Geological Report_100,"The scattered well data and poor seismic resolution of the Jurassic and Triassic levels, make the mapping of sedimentary facies and thickness distribution of the Hugin Formation very uncertain. The Hugin Formation of the area consists of shallow marine shoreface, coastal plain/lagoonal, channel and possibly mouth bar deposits. It is suggested that a mouth bar system can have been developed in the Theta Vest area during the early stages of sea transgression onto the Gamma High area. The Theta Vest area may represent a site for increased sand thickness compared to what is observed elsewhere on the Gamma High. The petrophysical analysis of the Hugin Formation in the 15/9-19 SR well, results in a mean net/gross of 0.924, a porosity of 22.6%, a permeability of 2913.2 mD and a water saturation of 11.0%. One drill stem test has been carried out in the interval 2863.6 - 2880.5 m TVD MSL The maximum rate recorded is 1358 Sm3/d. The permeabilities estimated from the build-up analyses are approximately 914 mD. The extrapolated reservoir pressure is calculated to 327.7 bar. The oil and gas from Theta Vest have geochemical characteristics which are unlike those for any other fluids found elsewhere in the Sleipner area. The oil properties are consistent in indicating that this sample was generated from a non-clastic marine source rock or Jurassic shales (Draupne Fm.)"
11,Geological Report_110,"of an unusual facies composition. The Theta Vest area has been evaluated with respect to potentially prospects and leads. Resource estimates have been calculated for each prospect. The calculated resource estimates are Monte Carlo simulated results. The most probable resource estimate for the Hugin reservoir in the Theta Vest structure is 10.33x1O'Sm3 oil In place and 1.65x10'Sm3 associated gas phase in place. A recovery factor of 45% gives 4.55x10'Sm3 recoverable oil and 0.72x10'Sm3 recoverable associated gas phase. The estimates are based on the assumption that the oil-water contact is governed by the spill point of the Theta Vest structure. If the faults cutting the structure are sealing, several of the fault segments north, west and south of the Theta Vest structure can be hydrocarbon bearing. This would increase the resource potential of the area by several orders of magnitude. The evaluation of the Jurassic and Triassic reservoirs in the Sleipner Øst area will be continued on the present data."
12,Geological Report_120,"When new seismic and well data become available in 1994- 96, the area and the Theta Vest structure will be reevaluated. 11STATOIL 2 INTRODUCTION This report provides an evaluation of the 15/9-19 SR hydrocarbon discovery. The exploration well 15/9-19 SR is situated on the Theta Vest structure, which is located between the Loke structure and the north-westerly extension of the Sleipner Øst structure. Figure 2.1 shows the location of well 15/9-19 SR together with other drilled exploration wells in the neighbouring area. Block 15/9 was awarded in 1976, together with block 15/8, as Production License 046. The Theta Vest structure is located outside the area declared commercial (see Figure 2.2), with the following ownerships: Statoil (operator) 52.6% Esso 28.0% Norsk Hydro 9.4% Elf 9.0% Total 1.0% The drilling of the 15/9-19 SR well was performed by the rig ""Treasure Prospect"" at a water depth of 84 m. The well was drilled through the Loke Template situated approximately 3 km east of the well target. The maximum deviation during drilling was 61.4 degrees from vertical. The primary objective of the well was to test the hydrocarbon potential in the Heimdal Formation of Paleocene age, which is the main reservoir in the Sleipner Øst area. In case of discovery, the purpose was to complete the well as a producer and take it into production with the subsea well 15/9-C2H on the Loke structure. However, the Heimdal Formation was found deeper than prognosed and did not contain hydrocarbons."
13,Geological Report_130,"The secondary objective of the well was to test the hydrocarbon potential in sandstones of Jurassic/Triassic age. Oil was encountered in sandstones of the Middle Jurassic Hugin Formation. A structural cross-section along the well path given in Figure 2.3, illustrates the geology of the Theta Vest structure. The well was spudded on 18th Sept. 1992 and temporarily abandoned on 24th Sept. 1992. A re-entry was done on 18th Nov. 1992. The well was drilled to a total depth of 3110.3 m below sea level and was terminated in sediments of Triassic age. The testing and completion started 26nd March 1993. The well showed very good production properties. It was plugged and abandoned on 29th April 1993. In the following chapters, an evaluation of the Theta Vest discovery and neighbouring areas based on seismic interpretation, structural geology, biostratigraphy, sedimentology, mineralogy, petrophysics, DST-test analysis and geochemistry is presented."
14,Geological Report_140,This leads to an anlysis and conclusion on the probable resources of the discovery. Planned future studies and exploration in the Sleipner Øst area are also reviewed. 12PL046 AREA Location of well 15/9-19 SRSTATOIL Possible extension of Sleipner Vest Field 15/9-11 *SLEIPNER 0STi 5/9-1 Exploration well gas/ condensate and oil Exploration well gas/condensate Oil exploration well Dry exploration well Figure 2.1SLEIPNER ØST AREASTATOIL XLOKE •:•:•: D-TernDi: % SLEIPNER ØST Gas / Condensate Heimdal Formation Gas / Condensate Jurassic / Triassic Sandstone Oil Jurassic Sandstone Prospects Heimdal Formation Prospects Jurassic / Triassic Sandstone Area declared commercial (PL 046C) Figure 2.2Vertical Cross Section through Well Path 15/9-19 SR Vertical exaggeration 2:1 (Q Iro co2300 2500- 2700 2900 - 3100 3300 350015/9-19 SR Structural cross-section along the 15/9-19 SR well path. See Figure 3.12 for location.BEast Heimdal Fm Lower Cretaceous Upper Permian and Tnassic RoUiege neies <3p. GS-FV/85718IRIO STATOIL 3 SEISMIC INTERPRETATION AND MAPPING A complete documentation of the operators seismic interpretation on the Gamma High is beyond the scope of this report. Only the most relevant data for interpretation of the Theta Vest area is included. Some of the presented maps are preliminary. 3.1 Seismic database. The ST8215R 3D survey was shot in 1982 and reprocessed in 1991. Well planning on the Theta Vest structure was based on interpretation of these data.
15,Geological Report_150,"The quality of the data is varying. The lower Tertiary section, including Top Heimdal Fm. is of poor quality in this area, whereas the Cretaceous section is better. The section below the Base Cretaceous Unconformity is of poor quality. The deep section suffers from some overmigration. The seismic data are processed with zero phase conversion using check-shot calibrated well logs. Log-calibration analyses, using ""Integrate"" modelling, have confirmed that the data are fairly close to zero phase. 3.2 VSP A vertical incidence VSP was shot in the well after TD was reached and casing set. The VSP covers the depth range 4580 to 846 m (MD RKB), of which the interval 4580 - 1480 m (MD RKB) had a level spacing of 20 m MD. The VSP data has contributed to correction of the velocities, well ties as well as the seismic mapping of major horizons on the Theta Vest structure."
16,Geological Report_160,"Figure 3.1 shows a composite plot of VSP spliced with a random line along the wellbore. The Base Cretaceous Unconformity is notably better defined on this VSP section than on the 3D seismic data, especially in the crestal area. The Top Mesozoic Sandstone however, fails to be properly resolved, as the rest of the deep section. The Heimdal Formation is resolved with more internal reflectors than on the 3D data. From visual inspection on Figure 3.1, a negative shift of 5 to 10 ms seems to be necessary for the VSP to match the seismic data. However, when checking the log times on several horizons and comparing them with the 3D seismic data, a general shift is not required (Figure 3.2). 3.3 Seismic interpretation Tie between the major horizons and the stratigraphy in the well is shown on Figure 3.2. Top Heimdal Formation and Base Cretaceous Unconformity were adjusted, based on the 16STATOIL well results and the VSP data. The Top Mesozoic Sandstone was interpreted after the well was drilled. 3.3.1 Top Heimdal Formation The Top Heimdal Formation reflector, representing top of the Heimdal sandstone, is interpreted regionally in the Sleipner Øst area."
17,Geological Report_170,"It is generally picked in a minimum reflection (white trough), since there is a marked increase in acoustic impedance from the overlying shales to the well consolidated sandstone reservoir. The Heimdal Formation was the primary target for this well. This reservoir came 50 m TVD deep according to prognosis and was water wet. The VSP data indicated that the Heimdal Formation reflector was picked approximaly 15 ms too high initially. The other reason for the depth-discrepancy is relatively high velocities in the overlying sediments compared to adjacent wells. Therefore the velocity map was adjusted accordingly (Figure 3.3 and Enclosure 1). The corrected Top Heimdal Fm. depth map is shown on Figure 3.4 and Enclosure 2. The quality of the Top Heimdal horizon is varying. On the Theta Vest structure this horizon is generally weak and hard to define."
18,Geological Report_180,"In the 15/9-19 SR well, the Top Heimdal Formation tie is on the onset of a black peak accordingly to VSP, but is interpreted on the seismic data 1/4 cycle higher, in the white trough. 3.3.2 Top Shetland Group This is generally the best defined reflector in the Sleipner Øst area, representing the top of the Cretaceous. It is picked in a strong white trough, as there is a marked increase of acoustic impedance from Tertiary sandstones and shales to Cretaceous chalk. 3.3.3 Top Blodøks Formation The Blodøks Formation is a marly formation near the base of the Shetland Group. In most wells, the top of this formation ties to the onset of a black peak. 3.3.4 Base Cretaceous Unconformity The Base Cretaceous Unconformity represents a fall in acoustic impedance on top of the Jurassic Draupne Formation in the Viking Group. The horizon is therefore picked on the maximum of a generally strong black peak. The horizon is of importance as it reveals the 17C) STATOIL Jurassic structuring, both regarding fault block delineation and dips. The Base Cretaceous Unconformity map is given in Enclosure 3 and Figure 3.5. In the 15/9-19 SR well, the seismic tie should be on two-way time 2.547 sec."
19,Geological Report_190,"according to the velocity log, which is on the maximum of a black peak according to the synthetic seismogram. Originally the B.C.U. was picked at 2.512 sec, one cycle higher. The new interpretation placed the Jurassic section in a down-faulted position (see Figure 3.6). The new seismic tie will not affect the Jurassic/Triassic interpretation in areas outside the down- faulted block. The B.C.U. reflector is seen to have less amplitude levels near the crest of the structures (see Enclosure 9 and Figure 3.7). A probable reason for this is thinning of the Draupne Formation, probably also thinning of the Heather Formation. 3.3.5 Top Mesozoic Sandstone The first occurence of sandstone below the Viking Group is denoted Top Mesozoic Sandstone regardless of stratigraphic position. In well 15/9-19 SR it equals the top Hugin Formation."
